Tanggal,Teks_Ulasan,Rating,Teks_Bersih,Teks_Stopword,Teks_Stemming
2026-05-17 10:50:38,"Game haram, di fitnah melakukan timming sampe di ban, sekarang ban orang tanpa bukti jelas, klo bener saya melakukan timming coba kirimkan bukti saya melakukan timming, bagusan dipegang tencent sekarang banyak orang cupu yang asal report",1,game haram di fitnah melakukan timming sampe di ban sekarang ban orang tanpa bukti jelas klo bener saya melakukan timming coba kirimkan bukti saya melakukan timming bagusan dipegang tencent sekarang banyak orang cupu yang asal report,haram fitnah timming sampe ban ban orang bukti klo bener timming coba kirimkan bukti timming bagusan dipegang tencent orang cupu report,haram fitnah timming sampe ban ban orang bukti klo bener timming coba kirim bukti timming bagus pegang tencent orang cupu report
2026-05-17 10:43:50,sangat realisasi,1,sangat realisasi,realisasi,realisasi
2026-05-17 10:33:52,"bug tombol tembaknya masih ada babi, masak main tombol tembaknya jadi manual, tusun jadinya tadi main babi",1,bug tombol tembaknya masih ada babi masak main tombol tembaknya jadi manual tusun jadinya tadi main babi,bug tombol tembaknya babi masak main tombol tembaknya manual tusun main babi,bug tombol tembak babi masak main tombol tembak manual tusun main babi
2026-05-17 10:13:05,PUBG burikkkkk FF baru keren,5,pubg burikkkkk ff baru keren,burikkkkk ff keren,burikkkkk ff keren
2026-05-17 10:12:04,HALO KAK..KAK UNTUK UPDATE SEASON DEPAN BUATKAN SETINGAN KONTROL PEGANG SENJATA DI TANGAN KIRI BISA GAK😁😁 KALOK BISA PASTI SERU...,5,halo kakkak untuk update season depan buatkan setingan kontrol pegang senjata di tangan kiri bisa gak kalok bisa pasti seru,halo kakkak update season buatkan setingan kontrol pegang senjata tangan kiri kalok seru,halo kakkak update season buat ting kontrol pegang senjata tangan kiri kalok seru
2026-05-17 10:02:04,aku mau top up kok gak bisa ini?,5,aku mau top up kok gak bisa ini,top up,top up
2026-05-17 09:45:10,gw suka game ini soalnya banyak yang sexs dan banyak karakter cewe belah tengah,5,gw suka game ini soalnya banyak yang sexs dan banyak karakter cewe belah tengah,suka sexs karakter cewe belah,suka sexs karakter cewe belah
2026-05-17 09:39:44,kembalikan soundtrack ON MY WAY,5,kembalikan soundtrack on my way,kembalikan soundtrack on my way,kembali soundtrack on my way
2026-05-17 09:30:00,kualitas nya baguss menarik,5,kualitas nya baguss menarik,kualitas baguss menarik,kualitas baguss tarik
2026-05-17 09:15:13,matchmaking lama banget duo fpp 20 menit,1,matchmaking lama banget duo fpp menit,matchmaking duo fpp menit,matchmaking duo fpp menit
2026-05-17 08:26:02,game nyee ngebak,1,game nyee ngebak,nyee ngebak,nyee ngebak
2026-05-17 08:02:35,pubg eror masa Gak bisa di log in nin,1,pubg eror masa gak bisa di log in nin,eror log in nin,eror log in nin
2026-05-17 07:44:07,berikanlah kehokian pada akun saya 😇,5,berikanlah kehokian pada akun saya,berikanlah kehokian akun,beri hoki akun
2026-05-17 07:34:32,saya suka pubg,5,saya suka pubg,suka,suka
2026-05-17 07:23:25,lebih detail dari pada game sebelah 🫣,5,lebih detail dari pada game sebelah,detail sebelah,detail belah
2026-05-17 06:33:59,nanti di update lagi penilaiannya,4,nanti di update lagi penilaiannya,update penilaiannya,update nilai
2026-05-17 06:32:29,pubg mantap. cuma pubg yg terbaik,5,pubg mantap cuma pubg yg terbaik,mantap terbaik,mantap baik
2026-05-17 06:10:36,Banyak kali bug nya lah. tolong secepat nya di perbaiki,3,banyak kali bug nya lah tolong secepat nya di perbaiki,kali bug tolong secepat perbaiki,kali bug tolong cepat baik
2026-05-17 05:57:23,sorry dikurangi 1bintang.. karena sekrng banyak ngebak nya.. kadang suara TDK terdengar oleh teman trus kadang juga tombol rifev nya hilang.. tolong di perbaiki 🙏🙏🙏,4,sorry dikurangi bintang karena sekrng banyak ngebak nya kadang suara tdk terdengar oleh teman trus kadang juga tombol rifev nya hilang tolong di perbaiki,sorry dikurangi bintang sekrng ngebak kadang suara tdk terdengar teman kadang tombol rifev hilang tolong perbaiki,sorry rang bintang sekrng ngebak kadang suara tdk dengar teman kadang tombol rifev hilang tolong baik
2026-05-17 05:13:35,"Sakit minusNya , rank rendah serasa domi. boring diawal. bukannya ga pro tpi kesan awal udh maen kencang aje minus.",1,sakit minusnya rank rendah serasa domi boring diawal bukannya ga pro tpi kesan awal udh maen kencang aje minus,sakit minusnya rank rendah serasa domi boring diawal pro tpi kesan udh maen kencang aje minus,sakit minus rank rendah serasa dom boring awal pro tpi kesan udh maen kencang aje minus
2026-05-17 05:05:16,mantap dah pokonya,5,mantap dah pokonya,mantap dah pokonya,mantap dah poko
2026-05-17 04:48:50,"tolong perbaiki fitur bug gyroscope, saya pakai device oppo reno 14f 5g, sejak update 4.4 saya kena bug gyroscope, kronologi : saat saya memasuki mode pertempuran gyroscope saya menjadi terbalik, saya sudah cek di setting, saya tidak memakai fitur gyroscope terbalik, tetapi pas saya main ranked ataupun battle royal, gyroscope saya selalu terbalik, tolong dari pihak tencent perbaiki bug ini, saya pun sudah ngecek, untuk sensor gyroscope di device saya berfungsi dengan baik dan normal",1,tolong perbaiki fitur bug gyroscope saya pakai device oppo reno f g sejak update saya kena bug gyroscope kronologi saat saya memasuki mode pertempuran gyroscope saya menjadi terbalik saya sudah cek di setting saya tidak memakai fitur gyroscope terbalik tetapi pas saya main ranked ataupun battle royal gyroscope saya selalu terbalik tolong dari pihak tencent perbaiki bug ini saya pun sudah ngecek untuk sensor gyroscope di device saya berfungsi dengan baik dan normal,tolong perbaiki fitur bug gyroscope pakai device oppo reno f g update kena bug gyroscope kronologi memasuki mode pertempuran gyroscope terbalik cek setting memakai fitur gyroscope terbalik main ranked battle royal gyroscope terbalik tolong tencent perbaiki bug ngecek sensor gyroscope device berfungsi normal,tolong baik fitur bug gyroscope pakai device oppo reno f g update kena bug gyroscope kronologi pasuk mode tempur gyroscope balik cek setting pakai fitur gyroscope balik main ranked battle royal gyroscope balik tolong tencent baik bug ngecek sensor gyroscope device fungsi normal
2026-05-17 03:55:02,"saya suka sekali dengan PUBG Mobile, tapi sayang terlalu banyak memori terkuras dan paket cepat habis.....🙏🙏",5,saya suka sekali dengan pubg mobile tapi sayang terlalu banyak memori terkuras dan paket cepat habis,suka mobile sayang memori terkuras paket cepat habis,suka mobile sayang memori kuras paket cepat habis
2026-05-17 03:13:17,banyak sekali kenangan di tahun 2018 yg tak terlupakan😭,5,banyak sekali kenangan di tahun yg tak terlupakan,kenangan terlupakan,kenang lupa
2026-05-17 02:02:57,setelah update malah gk bisa dibuka,2,setelah update malah gk bisa dibuka,update gk dibuka,update gk buka
2026-05-17 01:34:20,game tidak amanah. saya top up melalui qris transaksi sudah berhasil tapi dalam permainan tidak masuk,1,game tidak amanah saya top up melalui qris transaksi sudah berhasil tapi dalam permainan tidak masuk,amanah top up qris transaksi berhasil permainan masuk,amanah top up qris transaksi hasil main masuk
2026-05-17 01:11:56,benerin bot ai lahh aim nggak ngotak,1,benerin bot ai lahh aim nggak ngotak,benerin bot ai lahh aim nggak ngotak,benerin bot ai lahh aim nggak ngotak
2026-05-17 01:06:26,sudah membaik tapi tidak sempurna,3,sudah membaik tapi tidak sempurna,membaik sempurna,baik sempurna
2026-05-17 00:34:09,terbaiikkkkkkk☺️,5,terbaiikkkkkkk,terbaiikkkkkkk,terbaiikkkkkkk
2026-05-16 23:38:01,"game udah ga jelas dengan sistem grading ditambah player yang memakai handphone terkadang ketemu streamer/player yang menggunakan ipad dan emulator dimana kita kalah fps dan juga view untuk player handphone yang masih dibawah, saya harap pubg bisa membagi server antara ipad, emulator dan handphone",1,game udah ga jelas dengan sistem grading ditambah player yang memakai handphone terkadang ketemu streamerplayer yang menggunakan ipad dan emulator dimana kita kalah fps dan juga view untuk player handphone yang masih dibawah saya harap pubg bisa membagi server antara ipad emulator dan handphone,sistem grading ditambah player memakai handphone terkadang ketemu streamerplayer ipad emulator dimana kalah fps view player handphone dibawah harap membagi server ipad emulator handphone,sistem grading tambah player pakai handphone terkadang ketemu streamerplayer ipad emulator mana kalah fps view player handphone bawah harap bagi server ipad emulator handphone
2026-05-16 23:24:55,kenapa habis di update gk bisa masuk..?,1,kenapa habis di update gk bisa masuk,habis update gk masuk,habis update gk masuk
2026-05-16 23:06:27,"kok sering kali update nya,,bikin kesel apa lagi gua gak ada paket,taik taik",1,kok sering kali update nyabikin kesel apa lagi gua gak ada pakettaik taik,kali update nyabikin kesel pakettaik taik,kali update nyabikin kesel pakettaik taik
2026-05-16 22:12:47,game tolol banyak bug,1,game tolol banyak bug,tolol bug,tolol bug
2026-05-16 22:03:01,"terlalu pelit gcah sma player lama maunya pake uci , jaringan tidak setabil game trlalu berat dasar pelit",1,terlalu pelit gcah sma player lama maunya pake uci jaringan tidak setabil game trlalu berat dasar pelit,pelit gcah sma player maunya pake uci jaringan setabil trlalu berat dasar pelit,pelit gcah sma player mau pake uci jaring setabil trlalu berat dasar pelit
2026-05-16 21:59:11,"pubg sekarang jadi berat pas lagi main mau hp bagus,hp jelek sama ajaa,gaa bisaa menikmati lagi mainnya",1,pubg sekarang jadi berat pas lagi main mau hp bagushp jelek sama ajaagaa bisaa menikmati lagi mainnya,berat main hp bagushp jelek ajaagaa bisaa menikmati mainnya,berat main hp bagushp jelek ajaagaa bisaa nikmat main
2026-05-16 21:30:46,"update kali ini lumayanlah.. tapi jujur aku bener2 menikmati event hanya sampai pownin.. berkesan bgt rasanya.. setelah event pownin selesai, event2 selanjutnya sangat sangat biasa aja. kaya gak ada kesan yg bagus.. flat",3,update kali ini lumayanlah tapi jujur aku bener menikmati event hanya sampai pownin berkesan bgt rasanya setelah event pownin selesai event selanjutnya sangat sangat biasa aja kaya gak ada kesan yg bagus flat,update kali lumayanlah jujur bener menikmati event pownin berkesan event pownin selesai event kaya kesan bagus flat,update kali lumayan jujur bener nikmat event pownin kesan event pownin selesai event kaya kesan bagus flat
2026-05-16 21:28:54,pas lagi main tiba2 keluar aplikasi dengan sendirinya... ada apa dengan update an yg baru,3,pas lagi main tiba keluar aplikasi dengan sendirinya ada apa dengan update an yg baru,main aplikasi update an,main aplikasi update an
2026-05-16 21:24:24,game bagus cuman hp saya ga kuat120 fps🗿,5,game bagus cuman hp saya ga kuat fps,bagus cuman hp kuat fps,bagus cuman hp kuat fps
2026-05-16 21:16:45,sebelumnya terima kasih min untuk update terbaru nya menurutku bagus sih...tapi saya ada keluhan soal bug dan terkadang jaringan sering belum stabil dan sering tinggi. Mohon di perbaiki lagi min,5,sebelumnya terima kasih min untuk update terbaru nya menurutku bagus sihtapi saya ada keluhan soal bug dan terkadang jaringan sering belum stabil dan sering tinggi mohon di perbaiki lagi min,terima kasih min update terbaru menurutku bagus sihtapi keluhan bug terkadang jaringan stabil mohon perbaiki min,terima kasih min update baru turut bagus sihtapi keluh bug terkadang jaring stabil mohon baik min
2026-05-16 20:57:19,lagi lagi abis update frame droppp.. najis bgt gilaa sampe 30fps kocakk,1,lagi lagi abis update frame droppp najis bgt gilaa sampe fps kocakk,abis update frame droppp najis gilaa sampe fps kocakk,abis update frame droppp najis gilaa sampe fps kocakk
2026-05-16 20:47:14,keluar Asep mati nyaa kaya kena azab tukang maling cangcut,1,keluar asep mati nyaa kaya kena azab tukang maling cangcut,asep mati nyaa kaya kena azab tukang maling cangcut,asep mati nyaa kaya kena azab tukang maling cangcut
2026-05-16 20:42:20,gem sakit mata,2,gem sakit mata,gem sakit mata,gem sakit mata
2026-05-16 20:33:49,"game babbiii, sumpah mau login ribet mau ganti sandi ribet anjng",1,game babbiii sumpah mau login ribet mau ganti sandi ribet anjng,babbiii sumpah login ribet ganti sandi ribet anjng,babbiii sumpah login ribet ganti sandi ribet anjng
2026-05-16 20:33:30,lebih seru ada borgol belakang punggungnya ide iseng dan mengoda pliss ada nada senyum,5,lebih seru ada borgol belakang punggungnya ide iseng dan mengoda pliss ada nada senyum,seru borgol punggungnya ide iseng mengoda pliss nada senyum,seru borgol punggung ide iseng koda pliss nada senyum
2026-05-16 20:31:11,"apa ini gak bisa login lagi, katanya gua di curigai padahal ini gua, aku main pake no telpon, dan no nya itu nomor biasa bukan wa, kok gak bisa katanya verivikasi pas verifikasi udah malah eror bener dah dulu bug bundle sekarang bug system,",3,apa ini gak bisa login lagi katanya gua di curigai padahal ini gua aku main pake no telpon dan no nya itu nomor biasa bukan wa kok gak bisa katanya verivikasi pas verifikasi udah malah eror bener dah dulu bug bundle sekarang bug system,login curigai main pake no telpon no nomor wa verivikasi verifikasi eror bener dah bug bundle bug system,login curiga main pake no telpon no nomor wa verivikasi verifikasi eror bener dah bug bundle bug system
2026-05-16 20:27:57,"""koneksi server hilang. periksa koneksi jaringan kamu sebelum mencoba lagi"" ini maksud nya apa min???",1,koneksi server hilang periksa koneksi jaringan kamu sebelum mencoba lagi ini maksud nya apa min,koneksi server hilang periksa koneksi jaringan mencoba maksud min,koneksi server hilang periksa koneksi jaring coba maksud min
2026-05-16 20:13:31,Kenapa Rank saya Turun sendiri dari ACE MASTER jadi ke Platinum.. padahal baru pagi saya mainkan Masi ACE MASTER pas malam saya buka PUBG tiba2 rank saya jadi Platinum...ada apa dgn PUBG mobile ketika update season 4.4. ini... berikan penjelasan nya...untuk pihak PUBG mobile Indonesia,5,kenapa rank saya turun sendiri dari ace master jadi ke platinum padahal baru pagi saya mainkan masi ace master pas malam saya buka pubg tiba rank saya jadi platinumada apa dgn pubg mobile ketika update season ini berikan penjelasan nyauntuk pihak pubg mobile indonesia,rank turun ace master platinum pagi mainkan masi ace master malam buka rank platinumada dgn mobile update season penjelasan nyauntuk mobile indonesia,rank turun ace master platinum pagi main mas ace master malam buka rank platinumada dgn mobile update season jelas nyauntuk mobile indonesia
2026-05-16 20:07:36,kembalikan tombol revive gua pubg tolol,5,kembalikan tombol revive gua pubg tolol,kembalikan tombol revive tolol,kembali tombol revive tolol
2026-05-16 20:00:51,"lu pakek ipad lu punya pubg babi udah gitu view ipad di dewa dewakan ,bot dimana mana fitur kebayakan ini game mau di matikan kah ? udah main dari 8 th tiap tahun makin gak menikmati gamenya dari pindahnya ke kraton tolol itu",1,lu pakek ipad lu punya pubg babi udah gitu view ipad di dewa dewakan bot dimana mana fitur kebayakan ini game mau di matikan kah udah main dari th tiap tahun makin gak menikmati gamenya dari pindahnya ke kraton tolol itu,pakek ipad babi gitu view ipad dewa dewakan bot dimana fitur kebayakan matikan kah main th menikmati gamenya pindahnya kraton tolol,pakek ipad babi gitu view ipad dewa dewa bot mana fitur kebaya mati kah main th nikmat gamenya pindah kraton tolol
2026-05-16 19:51:39,kenapa grapik nya gaada yg lebih burik min hp gw smot aj ada suara mesin cukur,1,kenapa grapik nya gaada yg lebih burik min hp gw smot aj ada suara mesin cukur,grapik gaada burik min hp smot aj suara mesin cukur,grapik gaada burik min hp smot aj suara mesin cukur
2026-05-16 19:37:10,jaringan bagus tapi nggak bisa login server tidak merespon,2,jaringan bagus tapi nggak bisa login server tidak merespon,jaringan bagus nggak login server merespon,jaring bagus nggak login server merespon
2026-05-16 19:35:58,please fix rendernya cepet biar turun event gak mati,1,please fix rendernya cepet biar turun event gak mati,please fix rendernya cepet turun event mati,please fix rendernya cepet turun event mati
2026-05-16 19:33:48,"makin kesini makin cape main pubg, skil anak tk di bantai skil anak stm, belum juga nembak, udah mati duluan makin gajelas tencent, kalo caranya gini, gw bakalan lawan, pindah server ke ML aja blog, pusing nambah stress iya, emang anjeng",1,makin kesini makin cape main pubg skil anak tk di bantai skil anak stm belum juga nembak udah mati duluan makin gajelas tencent kalo caranya gini gw bakalan lawan pindah server ke ml aja blog pusing nambah stress iya emang anjeng,kesini cape main skil anak tk bantai skil anak stm nembak mati duluan gajelas tencent gini lawan pindah server ml blog pusing nambah stress iya emang anjeng,kesini cape main skil anak tk bantai skil anak stm nembak mati duluan gajelas tencent gin lawan pindah server ml blog pusing nambah stress iya emang anjeng
2026-05-16 19:32:41,tak kasih bintang 5 soalnya gara gara krafton manca jadi upload,5,tak kasih bintang soalnya gara gara krafton manca jadi upload,kasih bintang gara gara krafton manca upload,kasih bintang gara gara krafton manca upload
2026-05-16 19:14:42,good game,5,good game,good,good
2026-05-16 19:11:01,"AKHIR2 INI BANYAK KELUHAN MIN DARI KAWAN2 TERMASUK GUA MIN, SEKARANG MAKIN BANYAK BUG NYA. BAGUSAN ERANYA TENCENT MIN DARI PADA SEKARANG",1,akhir ini banyak keluhan min dari kawan termasuk gua min sekarang makin banyak bug nya bagusan eranya tencent min dari pada sekarang,keluhan min kawan min bug bagusan eranya tencent min,keluh min kawan min bug bagus era tencent min
2026-05-16 18:47:20,"yah udah jadi tradisi keknya nih tiap update pasti bugnya bejibun 😅 tapi yang paling ngeselin bug analog, pas momen² genting lagi close combat analognya ngga bisa digerakin. moga cepet di fix lah kesel banget reset season baru main dua match too soon gara-gara bug analog",1,yah udah jadi tradisi keknya nih tiap update pasti bugnya bejibun tapi yang paling ngeselin bug analog pas momen genting lagi close combat analognya ngga bisa digerakin moga cepet di fix lah kesel banget reset season baru main dua match too soon garagara bug analog,yah tradisi keknya nih update bugnya bejibun ngeselin bug analog momen genting close combat analognya ngga digerakin moga cepet fix kesel reset season main match too soon garagara bug analog,yah tradisi kek nih update bugnya bejibun ngeselin bug analog momen genting close combat analog ngga digerakin moga cepet fix kesel reset season main match too soon garagara bug analog
2026-05-16 18:47:08,tidak seru tidak seru sekali dan tidak enak dimainkan,2,tidak seru tidak seru sekali dan tidak enak dimainkan,seru seru enak dimainkan,seru seru enak main
2026-05-16 18:46:36,"sejauh ini, masih bisa dinikmati",4,sejauh ini masih bisa dinikmati,dinikmati,nikmat
2026-05-16 18:44:43,Bagus. Tapi,4,bagus tapi,bagus,bagus
2026-05-16 18:38:31,"Gw mau push conqu woy pubg, napa gw ga bisa main mental mulu ""koneksi ke server hilang, periksa koneksi jaringan kamu sebelum mencoba lagi"".Game gajelas, niat ga sih lu.",1,gw mau push conqu woy pubg napa gw ga bisa main mental mulu koneksi ke server hilang periksa koneksi jaringan kamu sebelum mencoba lagigame gajelas niat ga sih lu,push conqu woy napa main mental mulu koneksi server hilang periksa koneksi jaringan mencoba lagigame gajelas niat,push conqu woy napa main mental mulu koneksi server hilang periksa koneksi jaring coba lagigame gajelas niat
2026-05-16 18:33:22,m4 glacier efek please,2,m glacier efek please,m glacier efek please,m glacier efek please
2026-05-16 18:27:06,game rusak,1,game rusak,rusak,rusak
2026-05-16 18:26:02,tolong itu hapus trading nya biar gak strees kalau mau naik rank pliis krafton biar saya main lagi ini game,2,tolong itu hapus trading nya biar gak strees kalau mau naik rank pliis krafton biar saya main lagi ini game,tolong hapus trading strees rank pliis krafton main,tolong hapus trading strees rank pliis krafton main
2026-05-16 18:22:41,game nya udah mulai bagus. PUBG mobile coba buat bisa ubah tampilan PUBG mobile menjadi macam iPad walaupun menggunakan hp biasa.,5,game nya udah mulai bagus pubg mobile coba buat bisa ubah tampilan pubg mobile menjadi macam ipad walaupun menggunakan hp biasa,bagus mobile coba ubah tampilan mobile ipad hp,bagus mobile coba ubah tampil mobile ipad hp
2026-05-16 18:21:45,"ini apa sih udh sampe loby d blng koneksi putus krn jaringan padahal jaringan aman,,aneh bgt pubg skrng bkn ny mkn gede data ny kok mkin susah ajaa",3,ini apa sih udh sampe loby d blng koneksi putus krn jaringan padahal jaringan amananeh bgt pubg skrng bkn ny mkn gede data ny kok mkin susah ajaa,udh sampe loby d blng koneksi putus krn jaringan jaringan amananeh skrng bkn ny mkn gede data ny mkin susah ajaa,udh sampe loby d blng koneksi putus krn jaring jaring amananeh skrng bkn ny mkn gede data ny mkin susah ajaa
2026-05-16 18:20:34,game apaan ini update season servis ngk dukung,1,game apaan ini update season servis ngk dukung,update season servis ngk dukung,update season servis ngk dukung
2026-05-16 18:18:33,"bug mempengaruhi terputus ny server pusat karena jaringan, padahal koneksi sinyal sedang bagus",2,bug mempengaruhi terputus ny server pusat karena jaringan padahal koneksi sinyal sedang bagus,bug mempengaruhi terputus ny server pusat jaringan koneksi sinyal bagus,bug pengaruh putus ny server pusat jaring koneksi sinyal bagus
2026-05-16 18:17:47,GOOD,5,good,good,good
2026-05-16 18:15:57,makin di update malah makin bug ga jelas pabji,3,makin di update malah makin bug ga jelas pabji,update bug pabji,update bug pabji
2026-05-16 18:09:48,makin busuk aja abis update,1,makin busuk aja abis update,busuk abis update,busuk abis update
2026-05-16 17:57:11,tolong lah klo gacha kita punya kupon peti semisal punya 6 bisa langsung gacha 10 pake AG ini malah uc yg ke potong ngotak lah,1,tolong lah klo gacha kita punya kupon peti semisal punya bisa langsung gacha pake ag ini malah uc yg ke potong ngotak lah,tolong klo gacha kupon peti langsung gacha pake ag uc potong ngotak,tolong klo gacha kupon peti langsung gacha pake ag uc potong ngotak
2026-05-16 17:53:31,game cacat sinyal bagus tp gak mau masuk padahal wifi cuma di pake 2 hape,1,game cacat sinyal bagus tp gak mau masuk padahal wifi cuma di pake hape,cacat sinyal bagus tp masuk wifi pake hape,cacat sinyal bagus tp masuk wifi pake hape
2026-05-16 17:47:14,pubg lambat masuk mohon di perbaiki,3,pubg lambat masuk mohon di perbaiki,lambat masuk mohon perbaiki,lambat masuk mohon baik
2026-05-16 17:45:54,Gachanya aja diperbaikin biar gk terlalu mahal dan gk banyakan item sampah,5,gachanya aja diperbaikin biar gk terlalu mahal dan gk banyakan item sampah,gachanya diperbaikin gk mahal gk banyakan item sampah,gachanya diperbaikin gk mahal gk banyak item sampah
2026-05-16 17:39:08,👍👍👍,5,,,
2026-05-16 17:27:28,game terbaikku😍🥰,5,game terbaikku,terbaikku,baik
2026-05-16 17:14:29,game kontolll. banyakk bugg. udah semua mahal GK nguntungin pemain GK meberi kenyamanan permainan. sampah.,1,game kontolll banyakk bugg udah semua mahal gk nguntungin pemain gk meberi kenyamanan permainan sampah,kontolll banyakk bugg mahal gk nguntungin pemain gk meberi kenyamanan permainan sampah,kontolll banyakk bugg mahal gk nguntungin main gk meberi nyaman main sampah
2026-05-16 16:51:18,mau dapat M416 GLACIER DARI PETI GRATIS TENSEGN,5,mau dapat m glacier dari peti gratis tensegn,m glacier peti gratis tensegn,m glacier peti gratis tensegn
2026-05-16 16:41:33,obat stresss tingkatkan kemanannya lagi... terimakasid,5,obat stresss tingkatkan kemanannya lagi terimakasid,obat stresss tingkatkan kemanannya terimakasid,obat stresss tingkat keman terimakasid
2026-05-16 16:19:48,"gara"" main game pubg ini hatiku benar"" mati 🥀",5,gara main game pubg ini hatiku benar mati,gara main hatiku mati,gara main hati mati
2026-05-16 15:49:38,"krafton, game lu bagus cuman hp gw aja yang oon💔💔",5,krafton game lu bagus cuman hp gw aja yang oon,krafton bagus cuman hp oon,krafton bagus cuman hp oon
2026-05-16 15:39:38,semakin berat tiap update,3,semakin berat tiap update,berat update,berat update
2026-05-16 15:27:55,evennya gak jelas,1,evennya gak jelas,evennya,evennya
2026-05-16 15:27:38,"tambahin mp min auto ngajak temen"" download+Mabar",5,tambahin mp min auto ngajak temen downloadmabar,tambahin mp min auto ngajak temen downloadmabar,tambahin mp min auto ngajak temen downloadmabar
2026-05-16 14:31:37,selalu ngelek padahal saya pakek starlink,3,selalu ngelek padahal saya pakek starlink,ngelek pakek starlink,ngelek pakek starlink
2026-05-16 13:21:29,walaupun agak berat pubgm sekarang tpi masih seru apa lagi metro roya minus nya gk ada teman mabar aja sih,5,walaupun agak berat pubgm sekarang tpi masih seru apa lagi metro roya minus nya gk ada teman mabar aja sih,berat pubgm tpi seru metro roya minus gk teman mabar,berat pubgm tpi seru metro roya minus gk teman mabar
2026-05-16 12:50:16,"tidak bisa login menggunakan wifi, jika menggunakan wifi akan stuck di preparing resource, ketika pakai data baru akan jalan, tetapi ketika sudah di dalam lobby ingame dan match baru bisa menggunakan wifi, hal ini sangat merugikan saya karena pemborosan data, apalagi setiap login harus menggunakan data saya diharuskan untuk mengupdate 5 mb yang tidak jelas untuk apa hal itu, ini jelas merugikan saya karena pemborosan paket data dan juga storage, sangat mengecewakan.",1,tidak bisa login menggunakan wifi jika menggunakan wifi akan stuck di preparing resource ketika pakai data baru akan jalan tetapi ketika sudah di dalam lobby ingame dan match baru bisa menggunakan wifi hal ini sangat merugikan saya karena pemborosan data apalagi setiap login harus menggunakan data saya diharuskan untuk mengupdate mb yang tidak jelas untuk apa hal itu ini jelas merugikan saya karena pemborosan paket data dan juga storage sangat mengecewakan,login wifi wifi stuck preparing resource pakai data jalan lobby ingame match wifi merugikan pemborosan data login data diharuskan mengupdate mb merugikan pemborosan paket data storage mengecewakan,login wifi wifi stuck preparing resource pakai data jalan lobby ingame match wifi rugi boros data login data harus mengupdate mb rugi boros paket data storage kecewa
2026-05-16 12:49:13,"ayo laah... update terbaru kok sering bug, tombol revive teman tiba tiba hilang, sering gak muncul...",3,ayo laah update terbaru kok sering bug tombol revive teman tiba tiba hilang sering gak muncul,ayo laah update terbaru bug tombol revive teman hilang muncul,ayo laah update baru bug tombol revive teman hilang muncul
2026-05-16 11:57:08,gamenya bagus dan seru cuman developer nya pelit kikir nya gangotak dan satulagi hapus sistem grading nyusahin banget,3,gamenya bagus dan seru cuman developer nya pelit kikir nya gangotak dan satulagi hapus sistem grading nyusahin banget,gamenya bagus seru cuman developer pelit kikir gangotak satulagi hapus sistem grading nyusahin,gamenya bagus seru cuman developer pelit kikir gangotak satulagi hapus sistem grading nyusahin
2026-05-16 11:27:48,udah lama GK main geme ini sekeli nya donlod lagi mau masuk dalam geme donlod data nya lama GK macam dulu jadi males main nya lagi udah gak jelas geme nya,1,udah lama gk main geme ini sekeli nya donlod lagi mau masuk dalam geme donlod data nya lama gk macam dulu jadi males main nya lagi udah gak jelas geme nya,gk main geme sekeli donlod masuk geme donlod data gk males main geme,gk main geme keli donlod masuk geme donlod data gk males main geme
2026-05-16 10:45:32,keren sekali ini mahh,5,keren sekali ini mahh,keren mahh,keren mahh
2026-05-16 10:44:45,seru banget,5,seru banget,seru,seru
2026-05-16 10:34:09,tolong di ganti bahasa indo plis kukasih 5 bintang,5,tolong di ganti bahasa indo plis kukasih bintang,tolong ganti bahasa indo plis kukasih bintang,tolong ganti bahasa indo plis kasih bintang
2026-05-16 10:14:55,tolong perbaiki Bug di hp realme c30s layarnya miring jadi tidak bisa main,1,tolong perbaiki bug di hp realme cs layarnya miring jadi tidak bisa main,tolong perbaiki bug hp realme cs layarnya miring main,tolong baik bug hp realme cs layar miring main
2026-05-16 09:27:19,bagus,5,bagus,bagus,bagus
2026-05-16 09:08:53,bagus sekali,5,bagus sekali,bagus,bagus
2026-05-16 08:45:47,bagussss,5,bagussss,bagussss,bagussss
2026-05-16 08:45:08,"hp udah spek tinggi masih juga Nge frame lag, makin jelek PUBG saya kasih bintang 1, kalau sudah bagus baru saya kasih bintang 5",1,hp udah spek tinggi masih juga nge frame lag makin jelek pubg saya kasih bintang kalau sudah bagus baru saya kasih bintang,hp spek nge frame lag jelek kasih bintang bagus kasih bintang,hp spek nge frame lag jelek kasih bintang bagus kasih bintang
2026-05-16 08:36:56,setelah update kok malah error......game haram,5,setelah update kok malah errorgame haram,update errorgame haram,update errorgame haram
2026-05-16 08:34:52,"ada update tapi ga bisa ke download dan loading terus.padahal sebelumnya ga ada masalah .kalo OS atau Spec device ,udh jelas diatas minimum requirement. selama main ga pernah ngelag",1,ada update tapi ga bisa ke download dan loading teruspadahal sebelumnya ga ada masalah kalo os atau spec device udh jelas diatas minimum requirement selama main ga pernah ngelag,update download loading teruspadahal os spec device udh diatas minimum requirement main ngelag,update download loading teruspadahal os spec device udh atas minimum requirement main ngelag
2026-05-16 08:23:07,pubg ini keren lo tirimakasi yang suda buat game keren ini,5,pubg ini keren lo tirimakasi yang suda buat game keren ini,keren tirimakasi suda keren,keren tirimakasi suda keren
